"DISTRICT","YEAR","MONTH","DATE","RAINFALL.ON.DAY"
"MANBHUM PURULIA",1901,"Apr",1,0
"MANBHUM PURULIA",1901,"Apr",2,0
"MANBHUM PURULIA",1901,"Apr",3,0
"MANBHUM PURULIA",1901,"Apr",4,0
"MANBHUM PURULIA",1901,"Apr",5,0
"MANBHUM PURULIA",1901,"Apr",6,0
"MANBHUM PURULIA",1901,"Apr",7,0
"MANBHUM PURULIA",1901,"Apr",8,0
"MANBHUM PURULIA",1901,"Apr",9,0
"MANBHUM PURULIA",1901,"Apr",10,0
"MANBHUM PURULIA",1901,"Apr",11,0
"MANBHUM PURULIA",1901,"Apr",12,0
"MANBHUM PURULIA",1901,"Apr",13,0
"MANBHUM PURULIA",1901,"Apr",14,0
"MANBHUM PURULIA",1901,"Apr",15,0
"MANBHUM PURULIA",1901,"Apr",16,0
"MANBHUM PURULIA",1901,"Apr",17,1.4
"MANBHUM PURULIA",1901,"Apr",18,4.5
"MANBHUM PURULIA",1901,"Apr",19,5.525
"MANBHUM PURULIA",1901,"Apr",20,0
"MANBHUM PURULIA",1901,"Apr",21,7.55
"MANBHUM PURULIA",1901,"Apr",22,0
"MANBHUM PURULIA",1901,"Apr",23,0
"MANBHUM PURULIA",1901,"Apr",24,0.25
"MANBHUM PURULIA",1901,"Apr",25,0
"MANBHUM PURULIA",1901,"Apr",26,0
"MANBHUM PURULIA",1901,"Apr",27,0
"MANBHUM PURULIA",1901,"Apr",28,0
"MANBHUM PURULIA",1901,"Apr",29,0
"MANBHUM PURULIA",1901,"Apr",30,0
"MANBHUM PURULIA",1901,"Aug",1,35.375
"MANBHUM PURULIA",1901,"Aug",2,8.575
"MANBHUM PURULIA",1901,"Aug",3,3.25
"MANBHUM PURULIA",1901,"Aug",4,1.6
"MANBHUM PURULIA",1901,"Aug",5,0
"MANBHUM PURULIA",1901,"Aug",6,0
"MANBHUM PURULIA",1901,"Aug",7,6.1
"MANBHUM PURULIA",1901,"Aug",8,11.3
"MANBHUM PURULIA",1901,"Aug",9,33.075
"MANBHUM PURULIA",1901,"Aug",10,14.75
"MANBHUM PURULIA",1901,"Aug",11,3.175
"MANBHUM PURULIA",1901,"Aug",12,0.125
"MANBHUM PURULIA",1901,"Aug",13,7.125
"MANBHUM PURULIA",1901,"Aug",14,12.45
"MANBHUM PURULIA",1901,"Aug",15,0.2
"MANBHUM PURULIA",1901,"Aug",16,0.4
"MANBHUM PURULIA",1901,"Aug",17,3.75
"MANBHUM PURULIA",1901,"Aug",18,2.425
"MANBHUM PURULIA",1901,"Aug",19,4.325
"MANBHUM PURULIA",1901,"Aug",20,0
"MANBHUM PURULIA",1901,"Aug",21,0
"MANBHUM PURULIA",1901,"Aug",22,0.075
"MANBHUM PURULIA",1901,"Aug",23,20.625
"MANBHUM PURULIA",1901,"Aug",24,38.15
"MANBHUM PURULIA",1901,"Aug",25,31
"MANBHUM PURULIA",1901,"Aug",26,0.25
"MANBHUM PURULIA",1901,"Aug",27,5.775
"MANBHUM PURULIA",1901,"Aug",28,5.2
"MANBHUM PURULIA",1901,"Aug",29,7.375
"MANBHUM PURULIA",1901,"Aug",30,22.025
"MANBHUM PURULIA",1901,"Aug",31,34.35
"MANBHUM PURULIA",1901,"Dec",1,0
"MANBHUM PURULIA",1901,"Dec",2,0
"MANBHUM PURULIA",1901,"Dec",3,0
"MANBHUM PURULIA",1901,"Dec",4,0
"MANBHUM PURULIA",1901,"Dec",5,0
"MANBHUM PURULIA",1901,"Dec",6,0
"MANBHUM PURULIA",1901,"Dec",7,0
"MANBHUM PURULIA",1901,"Dec",8,0
"MANBHUM PURULIA",1901,"Dec",9,0
"MANBHUM PURULIA",1901,"Dec",10,0
"MANBHUM PURULIA",1901,"Dec",11,0
"MANBHUM PURULIA",1901,"Dec",12,0
"MANBHUM PURULIA",1901,"Dec",13,0
"MANBHUM PURULIA",1901,"Dec",14,0
"MANBHUM PURULIA",1901,"Dec",15,0
"MANBHUM PURULIA",1901,"Dec",16,0
"MANBHUM PURULIA",1901,"Dec",17,0
"MANBHUM PURULIA",1901,"Dec",18,0
"MANBHUM PURULIA",1901,"Dec",19,0
"MANBHUM PURULIA",1901,"Dec",20,0
"MANBHUM PURULIA",1901,"Dec",21,0
"MANBHUM PURULIA",1901,"Dec",22,0
"MANBHUM PURULIA",1901,"Dec",23,0
"MANBHUM PURULIA",1901,"Dec",24,0
"MANBHUM PURULIA",1901,"Dec",25,0
"MANBHUM PURULIA",1901,"Dec",26,0
"MANBHUM PURULIA",1901,"Dec",27,0
"MANBHUM PURULIA",1901,"Dec",28,0
"MANBHUM PURULIA",1901,"Dec",29,0
"MANBHUM PURULIA",1901,"Dec",30,0
"MANBHUM PURULIA",1901,"Dec",31,0
"MANBHUM PURULIA",1901,"Feb",1,0
"MANBHUM PURULIA",1901,"Feb",2,0
"MANBHUM PURULIA",1901,"Feb",3,0
"MANBHUM PURULIA",1901,"Feb",4,0
"MANBHUM PURULIA",1901,"Feb",5,0
"MANBHUM PURULIA",1901,"Feb",6,0
"MANBHUM PURULIA",1901,"Feb",7,0
"MANBHUM PURULIA",1901,"Feb",8,0
"MANBHUM PURULIA",1901,"Feb",9,0
"MANBHUM PURULIA",1901,"Feb",10,0
"MANBHUM PURULIA",1901,"Feb",11,10.225
"MANBHUM PURULIA",1901,"Feb",12,42.975
"MANBHUM PURULIA",1901,"Feb",13,19.175
"MANBHUM PURULIA",1901,"Feb",14,0
"MANBHUM PURULIA",1901,"Feb",15,4.45
"MANBHUM PURULIA",1901,"Feb",16,0
"MANBHUM PURULIA",1901,"Feb",17,0.075
"MANBHUM PURULIA",1901,"Feb",18,0
"MANBHUM PURULIA",1901,"Feb",19,0
"MANBHUM PURULIA",1901,"Feb",20,0
"MANBHUM PURULIA",1901,"Feb",21,0.25
"MANBHUM PURULIA",1901,"Feb",22,4.45
"MANBHUM PURULIA",1901,"Feb",23,2.55
"MANBHUM PURULIA",1901,"Feb",24,0.75
"MANBHUM PURULIA",1901,"Feb",25,0
"MANBHUM PURULIA",1901,"Feb",26,0
"MANBHUM PURULIA",1901,"Feb",27,0
"MANBHUM PURULIA",1901,"Feb",28,0
"MANBHUM PURULIA",1901,"Jan",1,0
"MANBHUM PURULIA",1901,"Jan",2,19.075
"MANBHUM PURULIA",1901,"Jan",3,6.35
"MANBHUM PURULIA",1901,"Jan",4,20.825
"MANBHUM PURULIA",1901,"Jan",5,7.8
"MANBHUM PURULIA",1901,"Jan",6,0
"MANBHUM PURULIA",1901,"Jan",7,0
"MANBHUM PURULIA",1901,"Jan",8,0
"MANBHUM PURULIA",1901,"Jan",9,0
"MANBHUM PURULIA",1901,"Jan",10,0
"MANBHUM PURULIA",1901,"Jan",11,0
