"YEAR","MONTH","DATE","RAINFALL.ON.DAY"
1901,"Jan",1,2.55855263173684
1901,"Jan",2,5.00017543842105
1901,"Jan",3,1.62780701752632
1901,"Jan",4,8.21666666668421
1901,"Jan",5,5.82846491247368
1901,"Jan",6,0.100657894736842
1901,"Jan",7,0.0157894736842105
1901,"Jan",8,0
1901,"Jan",9,0
1901,"Jan",10,0.0157894736842105
1901,"Jan",11,0
1901,"Jan",12,0.0350877193157895
1901,"Jan",13,0
1901,"Jan",14,0.52578947368421
1901,"Jan",15,1.35377193
1901,"Jan",16,0.661929824578947
1901,"Jan",17,0.168596491210526
1901,"Jan",18,4.2578947368421
1901,"Jan",19,2.49973684215789
1901,"Jan",20,0
1901,"Jan",21,0.0136842105263158
1901,"Jan",22,0
1901,"Jan",23,0.0552631578947368
1901,"Jan",24,0.049122807
1901,"Jan",25,0
1901,"Jan",26,0
1901,"Jan",27,0
1901,"Jan",28,0
1901,"Jan",29,0
1901,"Jan",30,0
1901,"Jan",31,0.0136842105263158
1901,"Feb",1,0.0447368421052632
1901,"Feb",2,0
1901,"Feb",3,0
1901,"Feb",4,0
1901,"Feb",5,0
1901,"Feb",6,0.00842105263157895
1901,"Feb",7,0.0549122806842105
1901,"Feb",8,0.0590643275263158
1901,"Feb",9,0.0263157894736842
1901,"Feb",10,0.0415789473684211
1901,"Feb",11,3.43236842105263
1901,"Feb",12,11.6598538068421
1901,"Feb",13,20.1762573336842
1901,"Feb",14,4.16043859652632
1901,"Feb",15,0.238596491210526
1901,"Feb",16,0
1901,"Feb",17,0.00394736842105263
1901,"Feb",18,0
1901,"Feb",19,0.00877192984210526
1901,"Feb",20,0.00438596489473684
1901,"Feb",21,0.0473684210526316
1901,"Feb",22,0.627719298263158
1901,"Feb",23,0.475526315789474
1901,"Feb",24,0.0728070175263158
1901,"Feb",25,0
1901,"Feb",26,0
1901,"Feb",27,0
1901,"Feb",28,0
1901,"Mar",1,0
1901,"Mar",2,0
1901,"Mar",3,0.00701754384210526
1901,"Mar",4,0
1901,"Mar",5,0.205263157894737
1901,"Mar",6,0.142543859631579
1901,"Mar",7,0.178771929842105
1901,"Mar",8,2.62096491210526
1901,"Mar",9,1.643070193
1901,"Mar",10,0
